key,noise,psf,mse,std
tr_0_0,No Noise,1.25,0.2722316384315491,0.12870536744594574
tr_1_0,No Noise,1.43,0.28935444355010986,0.13347813487052917
tr_2_0,No Noise,1.67,0.3625999689102173,0.1505117565393448
tr_3_0,No Noise,2.0,0.3827884793281555,0.1518026441335678
tr_4_0,No Noise,2.5,0.4199904799461365,0.16191166639328003
tr_0_1,50,1.25,0.39607149362564087,0.15655353665351868
tr_1_1,50,1.43,0.3962708115577698,0.1573336273431778
tr_2_1,50,1.67,0.3923256993293762,0.15570560097694397
tr_3_1,50,2.0,0.40956515073776245,0.15999023616313934
tr_4_1,50,2.5,0.47774583101272583,0.16242621839046478
tr_0_2,25,1.25,0.43368420004844666,0.16326449811458588
tr_1_2,25,1.43,0.4379057288169861,0.16485197842121124
tr_2_2,25,1.67,0.4998231530189514,0.17294782400131226
tr_3_2,25,2.0,0.4577335715293884,0.16855110228061676
tr_4_2,25,2.5,0.5265489220619202,0.1800035983324051
tr_0_3,20,1.25,0.468983918428421,0.17077702283859253
tr_1_3,20,1.43,0.501,0.1710699051618576
tr_2_3,20,1.67,0.5143712162971497,0.17718172073364258
tr_3_3,20,2.0,0.5134888887405396,0.17849890887737274
tr_4_3,20,2.5,0.5762374997138977,0.1897650510072708
tr_0_4,10,1.25,0.6873361158370972,0.19646115601062775
tr_1_4,10,1.43,0.6988320379257202,0.2033626139163971
tr_2_4,10,1.67,0.7033707094192505,0.20662853121757507
tr_3_4,10,2.0,0.7683221387863159,0.21470005810260773
tr_4_4,10,2.5,0.8972097039222717,0.23331156373023987
tr_0_5,5,1.25,1.1188002824783325,0.26308733224868774
tr_1_5,5,1.43,1.2,0.2560306489467621
tr_2_5,5,1.67,1.28,0.2724008858203888
tr_3_5,5,2.0,1.346308708190918,0.28865760564804077
tr_4_5,5,2.5,1.42,0.3339892327785492
