model,mse,std
t: 50 ms,1.24,0.32
r: 50 ms,1.32,0.33
t: 100 ms,0.76,0.20668819546699524
r: 100 ms,0.82,0.21746043860912323
t: 150 ms,0.6322891116142273,0.1949588656425476
r: 150 ms,0.6784921884536743,0.2057705819606781
t: 200 ms,0.653077244758606,0.20033708214759827
r: 200 ms,0.7326570749282837,0.21294952929019928
t: 300 ms,0.7219339609146118,0.21163712441921234
r: 300 ms,0.8328850865364075,0.22672973573207855
t: 500 ms,0.8850866556167603,0.22466517984867096
r: 500 ms,1.0389450788497925,0.24766115844249725
