model,mse,std
CNN + Feat Aug,0.626821756362915,0.19705039262771606
Transf(CNN + Feat) Aug,0.57,0.19
MSD Localized,1.38528723117791,0.2922468208735326
MSD Frame,1.326254958239042,0.287855823769278
Feat only,0.9446471333503723,0.24289236962795258
CNN only,0.76,0.22
CNN only Aug,0.73,0.21
Transf(CNN),0.7,0.21
Transf(CNN) Aug,0.69,0.2
CNN + Feat,0.6374587416648865,0.19877377152442932
Transfo(CNN) + Feat,0.571865975856781,0.1887034922838211
Transf(CNN + Feat),0.57,0.19
MSD Perfect,0.11479752068550089,0.08469484862358653
